ELECTRICITY,,,,,,,,,,,,,,,,,,,,,,,
TABLE 5.5. Availability and consumption of electricity,,,,,,,,,,,,,,,,TWh,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Public distribution system,Other generators,Other generators,Other generators,All electricity suppliers,All electricity suppliers,All electricity suppliers,,,,,,,
,,Electricity available,"Transmission, distribution and other losses",Sales to England and Wales,Sales to Scotland,Sales to Northern Ireland,Total Sales,Sales to Industrial,Sales to Domestic ,Sales to Other,Electricity available,Losses and statistical differences,Consumption of electricity,Electricity Available,Losses and statistical differences,Consumption of electricity,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2004,Quarter 4,96.57 ,9.51 ,76.52 ,8.52 ,2.02 ,87.06 ,27.55 ,34.55 ,24.96 ,6.18 ,0.00 ,6.18 ,102.75 ,9.51 ,93.24 ,,,,,,,
2005,Quarter 1,98.36 ,8.37 ,78.90 ,9.09 ,2.01 ,88.97 ,27.11 ,36.37 ,27.71 ,6.76 ,0.04 ,6.72 ,105.12 ,8.42 ,96.71 ,,,,,,,
2005,Quarter 2,84.14 ,6.01 ,69.07 ,7.24 ,1.82 ,77.87 ,26.67 ,27.84 ,24.71 ,6.30 ,-0.01 ,6.32 ,90.44 ,5.99 ,84.45 ,,,,,,,
2005,Quarter 3,80.39 ,6.76 ,65.51 ,6.39 ,1.74 ,73.51 ,24.94 ,25.69 ,24.06 ,6.39 ,-0.00 ,6.39 ,86.78 ,6.75 ,80.02 ,,,,,,,
2005,Quarter 4,96.21 ,6.69 ,79.18 ,8.26 ,2.08 ,88.73 ,27.16 ,35.81 ,27.70 ,6.55 ,0.05 ,6.50 ,102.76 ,6.74 ,96.02 ,,,,,,,
2006,Quarter 1,100.60 ,8.29 ,81.53 ,8.56 ,2.22 ,92.30 ,27.24 ,37.47 ,27.60 ,6.38 ,-0.02 ,6.40 ,106.98 ,8.27 ,98.70 ,,,,,,,
2006,Quarter 2,82.50 ,6.31 ,67.37 ,7.03 ,1.80 ,76.19 ,24.59 ,27.49 ,24.11 ,6.11 ,-0.06 ,6.16 ,88.61 ,6.25 ,82.36 ,,,,,,,
2006,Quarter 3,80.39 ,6.30 ,65.91 ,6.32 ,1.86 ,74.09 ,25.07 ,24.99 ,24.02 ,5.95 ,-0.01 ,5.96 ,86.34 ,6.29 ,80.05 ,,,,,,,
2006,Quarter 4,93.24 ,6.59 ,76.39 ,8.05 ,2.21 ,86.65 ,25.51 ,34.75 ,26.39 ,6.22 ,0.11 ,6.11 ,99.46 ,6.70 ,92.76 ,,,,,,,
2007,Quarter 1,97.19 ,8.23 ,78.21 ,8.49 ,2.26 ,88.96 ,26.26 ,35.22 ,27.49 ,5.45 ,0.03 ,5.42 ,102.64 ,8.03 ,94.38 ,,,,,,,
2007,Quarter 2,82.17 ,5.83 ,67.52 ,6.85 ,1.96 ,76.34 ,25.72 ,26.65 ,23.97 ,5.36 ,-0.03 ,5.38 ,87.52 ,6.93 ,81.72 ,,,,,,,
2007,Quarter 3,81.15 ,6.13 ,66.66 ,6.41 ,1.95 ,75.02 ,25.54 ,25.49 ,24.00 ,4.92 ,0.02 ,4.90 ,86.07 ,4.80 ,79.92 ,,,,,,,
2007,Quarter 4,97.49 ,7.57 ,79.65 ,8.04 ,2.24 ,89.93 ,26.99 ,35.73 ,27.21 ,5.56 ,0.07 ,5.49 ,103.05 ,4.48 ,95.42 ,,,,,,,
2008,Quarter 1,99.71 ,7.92 ,80.71 ,8.78 ,2.29 ,91.78 ,28.43 ,34.68 ,28.67 ,4.79 ,-0.04 ,4.83 ,104.50 ,7.88 ,96.62 ,,,,,,,
